Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
SGD Classifier (Optimized SVM),0.48007533703409994,0.20785804816223066,0.5688800792864221,0.30446890332847104,0.5218341002845518,0.3506143093109131
Logistic Regression,0.4975218080888184,0.19434982969344822,0.48067393458870167,0.27678698815808245,0.48465244030491383,14.794531106948853
Linear SVC (Fast SVM),0.49415146708961144,0.19291260203065896,0.4801783944499504,0.2752449936088624,0.4839800531277978,0.37366342544555664
Decision Tree,0.6064631245043616,0.20079705702023298,0.32457879088206143,0.2481060606060606,0.4936514983488135,1.0766842365264893
K-Nearest Neighbors,0.7629857256145915,0.20537124802527645,0.06442021803766106,0.0980761976612599,0.4971175160850978,4.658818006515503
Random Forest,0.7859833465503568,0.21224489795918366,0.02576808721506442,0.04595669465311533,0.49418504831976884,2.5246939659118652
Gradient Boosting,0.7999603489294211,0.5,0.0004955401387512388,0.0009900990099009901,0.494321152993566,28.459556341171265
Naive Bayes,0.7999603489294211,0.0,0.0,0.0,0.482296383355255,0.05653524398803711
