Model,Accuracy,Precision,Recall,F1-Score,Train Time,Pred Time,Total Time,Train Speed,Pred Speed
⚡ SGDClassifier (Fastest),0.7711466165413534,0.7315344341522352,0.7518211920529801,0.7415390896101245,0.19173479080200195,0.0013530254364013672,0.19308781623840332,577109.6603655337,20446030.98784141
🚀 LinearSVC (Fast),0.7919679005205321,0.754363387758385,0.776407284768212,0.7652266144494758,1.4316067695617676,0.0011851787567138672,1.4327919483184814,77292.174326524,23341626.60551197
📊 Naive Bayes (Baseline),0.7685801041064199,0.7132021628116552,0.7861754966887418,0.7479130571743582,0.016635894775390625,0.0029773712158203125,0.019613265991210938,6651400.57051135,9291417.829596413
🔄 Logistic Regression,0.7877385772122614,0.7478837246446255,0.7752483443708609,0.7613202178684659,1.3767671585083008,0.002780437469482422,1.3795475959777832,80370.88865475931,9949513.450180072
